id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
234,2024-03-25,Musculation,Abdos,Abdos Inclinés,,10.0,15.0,
235,2024-03-25,Musculation,Pectoraux,Chest Press,,32.0,12.0,
236,2024-03-25,Musculation,Pectoraux,Chest Press,,34.3,12.0,
237,2024-03-25,Musculation,Pectoraux,Chest Press,,34.3,12.0,
238,2024-03-25,Musculation,Pectoraux,Chest Press,,34.3,12.0,
239,2024-03-25,Musculation,Pectoraux,Chest Press,,34.3,12.0,
240,2024-03-27,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
241,2024-03-27,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
242,2024-03-27,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
243,2024-03-27,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
244,2024-03-27,Musculation,Abdos Jambes,Rotary Torso,,59.0,15.0,
245,2024-03-27,Musculation,Abdos Jambes,abdos inclinés,,10.0,15.0,
246,2024-03-27,Musculation,Abdos Jambes,Abdos Inclinés,,15.0,15.0,
247,2024-03-27,Musculation,Abdos Jambes,Abdos Inclinés,,15.0,11.0,
248,2024-03-27,Musculation,Abdos Jambes,Abdos Inclinés,,15.0,14.0,
249,2024-03-27,Musculation,Abdos Jambes,Abdos Inclinés,,15.0,15.0,
250,2024-03-27,Musculation,Abdos Jambes,Mollets sur Leg Press,,68.3,20.0,
251,2024-03-27,Musculation,Abdos Jambes,Mollets sur Leg Press,,73.0,15.0,
252,2024-03-27,Musculation,Abdos Jambes,Mollets sur Leg Press,,73.0,15.0,
253,2024-03-27,Musculation,Abdos Jambes,Mollets sur Leg Press,,73.0,15.0,
254,2024-03-27,Musculation,Abdos Jambes,Mollets sur Leg Press,,73.0,15.0,
255,2024-08-04,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
256,2024-08-04,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
